City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Lompoc,US,2020-08-21 20:56:50,34.64,-120.46,82.0,60,75,10.29
70,Skerries,IE,2020-08-21 21:00:42,53.58,-6.11,61.0,77,75,8.05
71,Tuktoyaktuk,CA,2020-08-21 21:00:43,69.45,-133.04,53.42,70,0,4.34
72,Mineiros,BR,2020-08-21 21:00:43,-17.57,-52.55,64.71,53,9,12.59
73,Yar-Sale,RU,2020-08-21 21:00:43,66.83,70.83,54.48,88,89,9.62
74,San Carlos De Bariloche,AR,2020-08-21 21:00:43,-41.15,-71.31,59.0,22,0,3.36
75,Upernavik,GL,2020-08-21 21:00:44,72.79,-56.15,44.46,71,22,10.27
76,Kirakira,SB,2020-08-21 21:00:44,-10.45,161.92,81.16,80,77,6.73
77,Vao,NC,2020-08-21 21:00:44,-22.67,167.48,71.01,76,8,7.49
78,Ribeira Grande,PT,2020-08-21 21:00:44,38.52,-28.7,71.6,73,75,3.36
79,Alofi,NU,2020-08-21 21:00:45,-19.06,-169.92,77.0,88,75,6.93
80,Tarbes,FR,2020-08-21 21:00:45,43.25,0.17,66.2,88,57,10.29
81,Provideniya,RU,2020-08-21 21:00:45,64.38,-173.3,50.04,90,100,9.15
82,Bayangol,RU,2020-08-21 21:00:45,50.7,103.47,49.1,93,78,2.59
83,Igrim,RU,2020-08-21 21:00:45,63.19,64.42,56.37,96,100,8.05
84,Coihaique,CL,2020-08-21 21:00:46,-45.58,-72.07,57.2,44,20,9.17
85,Daru,PG,2020-08-21 21:00:46,-9.08,143.21,74.23,85,4,8.05
86,Sao Francisco,BR,2020-08-21 21:00:46,-15.95,-44.86,83.39,32,63,3.87
87,Antofagasta,CL,2020-08-21 21:00:47,-23.65,-70.4,57.2,76,20,12.75
88,Yantal,RU,2020-08-21 21:00:47,56.85,105.25,61.29,59,100,1.59
89,Faanui,PF,2020-08-21 21:00:47,-16.48,-151.75,77.58,79,3,22.59
90,Mar Del Plata,AR,2020-08-21 20:57:36,-38.0,-57.56,53.6,66,0,11.41
91,Kendari,ID,2020-08-21 21:00:47,-3.94,122.5,73.4,90,97,1.57
92,Olafsvik,IS,2020-08-21 21:00:48,64.89,-23.71,52.56,64,0,15.82
93,Bluff,NZ,2020-08-21 21:00:48,-46.6,168.33,50.0,97,70,4.0
94,Makakilo City,US,2020-08-21 21:00:48,21.35,-158.09,86.0,48,20,11.41
95,Tutoia,BR,2020-08-21 20:59:48,-2.76,-42.27,79.66,82,2,9.17
96,Saint George,US,2020-08-21 21:00:10,37.1,-113.58,106.0,17,1,10.51
97,Bilibino,RU,2020-08-21 21:00:49,68.05,166.44,40.87,82,100,8.03
98,Nhulunbuy,AU,2020-08-21 21:00:49,-12.23,136.77,64.4,93,0,3.36
99,Cairns,AU,2020-08-21 21:00:49,-16.92,145.77,60.8,93,31,4.74
100,Roseburg,US,2020-08-21 21:00:50,43.22,-123.34,84.99,39,90,6.6
101,Gomel,BY,2020-08-21 21:00:50,52.43,30.98,60.8,87,75,11.18
102,Puerto Ayora,EC,2020-08-21 21:00:50,-0.74,-90.35,78.8,47,83,17.22
103,Serafimovich,RU,2020-08-21 21:00:51,49.58,42.74,57.99,52,93,1.01
104,Gizo,SB,2020-08-21 21:00:51,-8.1,156.84,82.83,75,46,5.59
105,Hermanus,ZA,2020-08-21 21:00:51,-34.42,19.23,44.01,94,70,3.02
106,Norman Wells,CA,2020-08-21 21:00:51,65.28,-126.83,64.4,55,75,17.22
107,Port Lincoln,AU,2020-08-21 21:00:52,-34.73,135.87,48.97,66,0,20.18
108,Yellowknife,CA,2020-08-21 20:56:01,62.46,-114.35,57.2,58,75,14.99
109,Torbay,CA,2020-08-21 21:00:52,47.67,-52.73,69.8,46,75,20.8
110,Frontera,MX,2020-08-21 21:00:52,26.93,-101.45,96.8,19,75,4.7
111,Key West,US,2020-08-21 20:58:20,24.56,-81.78,91.4,70,75,9.17
112,Cidreira,BR,2020-08-21 21:00:53,-30.18,-50.21,49.8,57,0,8.12
113,Nemuro,JP,2020-08-21 21:00:53,43.32,145.57,59.74,81,67,3.74
114,Kangaatsiaq,GL,2020-08-21 21:00:54,68.31,-53.46,48.33,67,0,7.81
115,College,US,2020-08-21 21:00:54,64.86,-147.8,55.4,87,75,3.36
116,Gorontalo,ID,2020-08-21 21:00:55,0.54,123.06,74.23,87,97,2.55
117,Atambua,ID,2020-08-21 21:00:55,-9.11,124.89,67.95,78,1,4.12
118,Richards Bay,ZA,2020-08-21 21:00:55,-28.78,32.04,60.1,79,21,2.35
119,Ryotsu,JP,2020-08-21 21:00:55,38.08,138.43,73.4,94,75,2.24
120,Fortuna,US,2020-08-21 20:57:17,40.6,-124.16,79.0,71,24,4.0
121,Labytnangi,RU,2020-08-21 21:00:56,66.66,66.42,51.33,85,22,6.49
122,Dunedin,NZ,2020-08-21 20:59:33,-45.87,170.5,46.0,94,77,5.99
123,La Ronge,CA,2020-08-21 21:00:56,55.1,-105.28,66.2,72,75,16.11
124,Kaitangata,NZ,2020-08-21 21:00:56,-46.28,169.85,46.99,92,84,4.0
125,Mitsamiouli,KM,2020-08-21 21:00:57,-11.38,43.28,76.59,74,0,6.35
126,Bela,IN,2020-08-21 21:00:57,25.93,81.98,77.77,88,27,9.93
127,Winnipeg,CA,2020-08-21 20:56:10,49.88,-97.15,87.8,43,90,6.93
128,Longyearbyen,SJ,2020-08-21 21:00:12,78.22,15.64,42.39,76,86,3.74
129,Bagdarin,RU,2020-08-21 21:00:57,54.43,113.6,54.68,83,100,2.24
130,Falmouth,GB,2020-08-21 21:00:58,50.15,-5.07,61.0,93,1,23.04
131,Arraial Do Cabo,BR,2020-08-21 21:00:58,-22.97,-42.03,66.2,77,75,23.04
132,Esperance,AU,2020-08-21 21:00:58,-33.87,121.9,44.6,100,100,8.05
133,Rawson,AR,2020-08-21 21:00:59,-43.3,-65.1,65.01,27,0,12.41
134,Abdanan,IR,2020-08-21 21:00:59,32.99,47.42,78.82,17,0,11.03
135,Cherskiy,RU,2020-08-21 21:01:00,68.75,161.3,40.98,80,100,14.5
136,Beringovskiy,RU,2020-08-21 21:01:00,63.05,179.32,51.64,91,100,18.61
137,Jinxiang,CN,2020-08-21 21:01:00,22.86,115.7,79.92,86,98,2.59
138,Dhanwar,IN,2020-08-21 21:01:00,24.42,85.98,78.24,87,99,3.96
139,Qaanaaq,GL,2020-08-21 21:01:01,77.48,-69.36,39.61,78,86,3.0
140,Ponta Delgada,PT,2020-08-21 21:01:01,37.73,-25.67,73.4,83,40,6.93
141,Terra Nova,BR,2020-08-21 21:01:01,-12.37,-40.67,72.79,64,91,5.44
142,Porto Santo,PT,2020-08-21 21:01:01,33.07,-16.34,73.4,83,40,12.75
143,Konosha,RU,2020-08-21 21:01:02,60.97,40.26,52.03,87,7,1.57
144,Georgetown,MY,2020-08-21 21:00:36,5.41,100.34,80.6,94,40,8.05
145,New Castle,US,2020-08-21 21:01:02,41.0,-80.35,86.0,35,75,4.7
146,Casimiro De Abreu,BR,2020-08-21 20:57:06,-22.48,-42.2,68.0,88,90,11.41
147,Alihe,CN,2020-08-21 21:01:03,50.57,123.72,56.01,82,100,1.86
148,Bolobo,CD,2020-08-21 21:01:03,-2.17,16.23,78.76,67,52,1.34
149,Nyaunglebin,MM,2020-08-21 21:01:03,17.95,96.73,74.93,96,100,2.42
150,Cabo San Lucas,MX,2020-08-21 20:56:05,22.89,-109.91,86.0,74,40,4.7
151,Evensk,RU,2020-08-21 21:01:04,61.95,159.23,49.39,83,100,6.71
152,Domoni,KM,2020-08-21 21:01:04,-12.26,44.53,74.97,71,7,0.63
153,Mastung,PK,2020-08-21 21:00:37,29.8,66.84,75.58,60,33,6.89
154,Pangkalanbuun,ID,2020-08-21 21:01:05,-2.68,111.62,75.07,97,99,2.3
155,Alekseyevka,RU,2020-08-21 21:01:05,50.63,38.69,62.65,53,100,9.33
156,Bubaque,GW,2020-08-21 21:01:05,11.28,-15.83,79.86,82,95,17.38
157,Port Blair,IN,2020-08-21 21:01:05,11.67,92.75,81.93,80,100,10.71
158,Rocha,UY,2020-08-21 21:01:04,-34.48,-54.33,48.7,69,0,4.85
