City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
262,Tura,IN,80.17,broken clouds,25.52,90.22,Hotel RIKMAN Continental
271,Baghdad,IQ,78.8,clear sky,33.34,44.4,Baghdad Hotel
273,Panzhihua,CN,75.0,clear sky,26.59,101.71,Electric Power Hotel
274,Georgetown,MY,86.0,few clouds,5.41,100.34,Cititel Penang
276,Padang,ID,83.73,broken clouds,-0.95,100.35,Mercure Padang
277,Hasaki,JP,90.0,scattered clouds,35.73,140.83,Inubosaki Kanko Hotel
280,Waingapu,ID,84.16,clear sky,-9.66,120.26,Pondok Wisata Elim
289,Saint Anthony,US,81.0,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
294,Veraval,IN,81.79,light rain,20.9,70.37,Lords Inn Somnath
296,Karaton,ID,82.4,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
297,Saint-Georges,GD,80.6,few clouds,12.06,-61.75,Siesta Hotel
299,Ixtapa,MX,86.0,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
300,Jeremie,HT,81.79,few clouds,18.65,-74.12,Auberge Inn
301,Lamu,KE,75.65,light rain,-2.27,40.9,Lamu House
302,Alta Floresta,BR,78.1,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
306,Havelock,US,81.0,clear sky,34.88,-76.9,Sherwood Motel
309,Shingu,JP,86.0,broken clouds,33.73,135.98,Shingu UI Hotel
312,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
315,Luancheng,CN,82.4,overcast clouds,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
317,Rosamorada,MX,80.31,light rain,22.12,-105.21,Hotel Catalina
318,Ibra,OM,81.3,overcast clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
319,Kuala Terengganu,MY,80.6,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
322,Ewa Beach,US,89.6,broken clouds,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
323,Kirakira,SB,85.69,light rain,-10.45,161.92,SanBiz Lodge
328,Pishin,PK,76.15,clear sky,30.58,67.0,Iqra Printing Press
329,Eyl,SO,75.36,broken clouds,7.98,49.82,Amiin Hotel
330,Port-Gentil,GA,75.96,overcast clouds,-0.72,8.78,Fengshui Residence
332,Hami,CN,87.78,few clouds,42.8,93.45,Laoyutang Resort
336,Hambantota,LK,75.2,few clouds,6.12,81.12,Bungalow 63
337,Kokoda,PG,79.05,light rain,-8.88,147.74,Daito Guest House
338,Andros Town,BS,84.2,few clouds,24.7,-77.77,Hanks place
339,Pierre,US,82.4,clear sky,44.37,-100.35,Ramkota Hotel
344,Pathein,MM,80.82,moderate rain,16.78,94.73,Pathein Hotel
345,Basco,PH,83.93,overcast clouds,20.45,121.97,Nathaniel's Lodge
349,Nagapattinam,IN,82.71,overcast clouds,10.77,79.83,MGM Vailankanni
350,Umm Lajj,SA,82.85,clear sky,25.02,37.27,Moon light Furnished Units
351,Tiarei,PF,86.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
355,Samarai,PG,78.71,light rain,-10.62,150.67,Nuli Sapi
358,Marzuq,YE,79.05,broken clouds,14.4,46.47,
362,Kavaratti,IN,80.87,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
363,Faanui,PF,77.59,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
369,Sur,OM,78.13,overcast clouds,22.57,59.53,Sur Plaza Hotel
371,Iralaya,HN,81.66,broken clouds,15.0,-83.23,Iglesia morava renovada
375,Cockburn Town,TC,83.44,clear sky,21.46,-71.14,Osprey Beach Hotel
383,Tessalit,ML,83.82,few clouds,20.2,1.01,
385,Bambanglipuro,ID,83.8,clear sky,-7.95,110.28,Puri Brata
389,Khair,IN,80.91,clear sky,27.95,77.83,"Jindal Guest House, Khair"
390,Yebaishou,CN,81.41,overcast clouds,41.4,119.64,Siji Home
396,Avera,US,75.2,thunderstorm,33.19,-82.53,
397,Urumqi,CN,84.2,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
398,Ouallam,NE,75.58,clear sky,14.32,2.09,
400,Hiranagar,IN,80.17,light rain,32.45,75.27,gandhi apartment
404,Kushima,JP,89.6,scattered clouds,31.46,131.23,Hanaoka
408,Tra Vinh,VN,85.1,overcast clouds,9.93,106.35,Hồng Ân
411,Port Hedland,AU,82.4,clear sky,-20.32,118.57,The Esplanade Hotel
412,Kalmunai,LK,80.42,overcast clouds,7.42,81.82,VS Villa
414,Manaus,BR,80.6,broken clouds,-3.1,-60.02,Hotel do Largo
415,Cayenne,GF,78.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
418,Road Town,VG,78.8,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
419,Tirumullaivasal,IN,82.13,light rain,11.23,79.83,"MATHAMPATTINAM, MODUNUTTI GROUP"
420,Ipixuna,BR,77.0,scattered clouds,-1.76,-48.8,Casa da Oscarina
423,San Ignacio,BZ,77.0,light rain,17.16,-89.07,Rainforest Haven Inn
429,Sao Felix Do Xingu,BR,75.76,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
430,Saryozek,KZ,76.08,light rain,44.36,77.98,Gostinitsa
436,Dwarka,IN,81.86,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
437,Balikpapan,ID,78.8,light rain,-1.27,116.83,Grand Jatra Hotel Balikpapan
442,Poplar Bluff,US,80.6,clear sky,36.76,-90.39,Holiday Inn Poplar Bluff
443,Sal Rei,CV,78.8,broken clouds,16.18,-22.92,Marine Club Beach Resort
446,Jacareacanga,BR,79.14,broken clouds,-6.22,-57.75,Casa do Ian😎
448,San Patricio,MX,86.0,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
449,Mazatlan,MX,87.8,clear sky,23.22,-106.42,Gaviana Resort
450,Sao Miguel Do Araguaia,BR,81.39,broken clouds,-13.28,-50.16,Hotel Executivo Palace
451,La Romana,DO,78.8,scattered clouds,18.43,-68.97,Casa de Campo Resort and Villas
452,South Lake Tahoe,US,78.8,haze,38.93,-119.98,Tahoe Lakeshore Lodge & Spa
457,Lethem,GY,76.91,overcast clouds,3.38,-59.8,Savannah Inn
461,Bandar,ID,82.44,light rain,2.05,99.75,
462,Balabac,PH,85.75,overcast clouds,7.99,117.06,Sing and Swing Lodge
463,Kendari,ID,82.99,scattered clouds,-3.94,122.5,Hotel Wixel
464,Panguna,PG,81.12,light rain,-6.32,155.48,
465,Jatiroto,ID,82.15,clear sky,-7.88,111.12,Mushola Al Huda
467,Aloleng,PH,85.01,overcast clouds,16.13,119.78,Agno Umbrella Rocks
468,Merauke,ID,81.77,broken clouds,-8.47,140.33,
469,Nan,TH,80.6,few clouds,18.83,100.67,นายนนท์ปวิช. อานุ
470,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
471,Benghazi,LY,78.42,clear sky,32.12,20.07,Tibesti Hotel
472,Ukiah,US,87.8,haze,39.15,-123.21,Hampton Inn Ukiah
474,Sinnamary,GF,78.33,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
476,Nioro,GM,75.49,overcast clouds,13.35,-15.75,
477,Dingzhou,CN,82.4,overcast clouds,38.51,115.0,宜家时尚宾馆
478,Korla,CN,82.0,clear sky,41.76,86.15,Gulisitan Hotel
486,Mahibadhoo,MV,83.5,light rain,3.78,72.97,Omadhoo Inn
490,Tucumcari,US,85.98,broken clouds,35.17,-103.72,Holiday Inn Express & Suites Tucumcari
493,Kalawit,PH,86.0,overcast clouds,8.07,122.52,Ompoy Pension House
494,Port Moresby,PG,77.0,broken clouds,-9.44,147.18,Lamana Hotel
495,Kayes,ML,75.85,light rain,14.0,-11.0,
497,Moratuwa,LK,78.8,scattered clouds,6.77,79.88,Sa Mansion By Yoho
501,Ladnun,IN,80.73,scattered clouds,27.65,74.38,Varsha Sanjay Sadan
